from,to,data,start_time,end_time,delay
a1,a,b'step',1670732487.717041,1670732495.163061,8
a1,a,b'17',1670732495.163165,1670732497.636271,3
a1,a,b'437',1670732497.636598,1670732502.586397,5
a1,a,b'a1',1670732502.586532,1670732505.029765,3
a1,a,"b'\x80\x04\x95\x85\x00\x00\x00\x00\x00\x00\x00]\x94(K\x00K\x04K\x00K\tK\x00K\x04K\x07K\nK\tK\x0cK\xd3K\x0bK\xc5KkK\xe9KYK\x17K;K\xbfK\xe3K\x83K\xb3KSKmK=K\x1dKaK\x03M\x1d\x01KhM\x05\x01K\x84K\x8fK\x84K/K,K\xbdK\xf8K\xa1K\xaeK\xcbK\x1aK\xdbKBK;K\x90K\xd1K:KCK2KUK\x12KMK\xa6K\xb5K&K\x9bK\xf6K\x06KRK\xa9K\x8cK\re.'",1670732505.029891,1670732505.530581,1
a1,a,"b'\x80\x04\x95\x84\x00\x00\x00\x00\x00\x00\x00]\x94(K""K!K\x11K\x08K\x03K\x04K\x0eK\x11K\x10K\x0eK\x9dK\xc1KaK\xa7K\xe3K\x8bKSKOKCK\xbfK)K\xf1K\xefK\xb0K\xdbK\xa4K1K\xb8K\xd5K#K3K\x84KgK""K\xbfK\xeeKaKVKGK\xc4K3K\xacK%K\x80KGK\x18K\xf9K\x92KuK,K7K\xf0M\x05\x01KDKaK\xe6KqKvK\xf3K\xc8K\rK\x04K%e.'",1670732505.530703,1670732506.032888,1
a,a1,b'9',1670732479.822548,1670732503.097115,24
a,a1,b'97',1670732503.097492,1670732503.61012,1
a,a1,b'109',1670732503.610239,1670732504.125254,1
a,a1,b'T',1670732504.125405,1670732506.544422,3
